# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi                   5:dens[1]-dens[1]        6:dens[1]-dens[2]        7:dens[1]-dens[3]        8:dens[1]-dens[4]        9:dens[1]-dens[5]       10:dens[2]-dens[2]       11:dens[2]-dens[3]       12:dens[2]-dens[4]       13:dens[2]-dens[5]       14:dens[3]-dens[3]       15:dens[3]-dens[4]       16:dens[3]-dens[5]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[5]-dens[5]       20:phi-dens[1]           21:phi-dens[2]           22:phi-dens[3]           23:phi-dens[4]           24:phi-dens[5]           25:lens[1]-lens[1]       26:lens[1]-lens[2]       27:lens[1]-lens[3]       28:lens[1]-lens[4]       29:lens[1]-lens[5]       30:lens[2]-lens[2]       31:lens[2]-lens[3]       32:lens[2]-lens[4]       33:lens[2]-lens[5]       34:lens[3]-lens[3]       35:lens[3]-lens[4]       36:lens[3]-lens[5]       37:lens[4]-lens[4]       38:lens[4]-lens[5]       39:lens[5]-lens[5]       40:dens[1]-lens[1]       41:dens[1]-lens[2]       42:dens[1]-lens[3]       43:dens[1]-lens[4]       44:dens[1]-lens[5]       45:dens[2]-lens[1]       46:dens[2]-lens[2]       47:dens[2]-lens[3]       48:dens[2]-lens[4]       49:dens[2]-lens[5]       50:dens[3]-lens[1]       51:dens[3]-lens[2]       52:dens[3]-lens[3]       53:dens[3]-lens[4]       54:dens[3]-lens[5]       55:dens[4]-lens[1]       56:dens[4]-lens[2]       57:dens[4]-lens[3]       58:dens[4]-lens[4]       59:dens[4]-lens[5]       60:dens[5]-lens[1]       61:dens[5]-lens[2]       62:dens[5]-lens[3]       63:dens[5]-lens[4]       64:dens[5]-lens[5]    
    2       1.494388009984e-10       8.607609453419e-09       4.844348267736e-10       4.462316325894e-06       4.250604822322e-06       4.073327817898e-06       2.006945837542e-06      -2.333401586983e-07       4.412282769931e-06       4.206641105180e-06       2.261498340187e-06      -7.154302497316e-08       4.363729767925e-06       2.507023559750e-06       1.051071188360e-07       3.940501480662e-06       2.330521705691e-06       3.618507127886e-06      -1.169289833656e-08      -1.222753573868e-08      -1.274916279047e-08      -1.729280537253e-08      -2.089054254619e-08       3.956415729306e-09       3.966834904827e-09       3.977101101446e-09       4.070778646684e-09       4.150819550249e-09       3.977320261140e-09       3.987651831151e-09       4.081941064168e-09       4.162524338414e-09       3.998048036109e-09       4.092941880404e-09       4.174061604994e-09       4.193506167031e-09       4.279674568020e-09       4.370364821822e-09      -2.100888203849e-08      -2.097314744214e-08      -2.093550974269e-08      -2.047179802145e-08      -1.992629650318e-08      -2.126795436079e-08      -2.123682663641e-08      -2.120373291018e-08      -2.078095866253e-08      -2.026690538225e-08      -2.151566660650e-08      -2.148902883753e-08      -2.146037205374e-08      -2.107789686488e-08      -2.059515016147e-08      -2.346810355888e-08      -2.347958212444e-08      -2.348890701784e-08      -2.346723957312e-08      -2.328475724516e-08      -2.475313116306e-08      -2.479058430647e-08      -2.482612933297e-08      -2.507355022740e-08      -2.514864560835e-08 
    3       1.408323744269e-10       5.395957235646e-09       3.460597168405e-10       8.755021576902e-06       8.333930482187e-06       7.982858334527e-06       3.929921478335e-06      -4.576772436328e-07       8.658371799023e-06       8.249312031391e-06       4.430381586798e-06      -1.426564357102e-07       8.564494024667e-06       4.913475876427e-06       2.020413202966e-07       7.748444516046e-06       4.577105387957e-06       7.130031556167e-06      -8.534257613613e-09      -9.245992652640e-09      -9.939689525729e-09      -1.599060460461e-08      -2.078563550751e-08       2.159200643056e-09       2.165747791081e-09       2.172180643517e-09       2.230791636161e-09       2.280558150761e-09       2.172344279329e-09       2.178825881280e-09       2.237893194033e-09       2.288063795082e-09       2.185355654599e-09       2.244874136469e-09       2.295444644781e-09       2.308630858200e-09       2.362976917473e-09       2.420715433406e-09      -2.289053216235e-08      -2.283047595489e-08      -2.276701244124e-08      -2.198804393475e-08      -2.107478090883e-08      -2.320429372457e-08      -2.315129583167e-08      -2.309479631680e-08      -2.237826109072e-08      -2.151170039903e-08      -2.350204478191e-08      -2.345592805509e-08      -2.340623146141e-08      -2.275128784095e-08      -2.193142712729e-08      -2.579256981768e-08      -2.580456453570e-08      -2.581290864707e-08      -2.571245751857e-08      -2.534962829553e-08      -2.721988942828e-08      -2.727024341066e-08      -2.731752397680e-08      -2.762602047717e-08      -2.766209970926e-08 
    4       1.323679381658e-10       3.764867286086e-09       2.632112842627e-10       1.431279434127e-05       1.361420244763e-05       1.303464301711e-05       6.424486558829e-06      -7.188838809646e-07       1.415573016811e-05       1.347721287587e-05       7.241037435550e-06      -2.102105171352e-07       1.400342379057e-05       8.029913133550e-06       3.477123926914e-07       1.268342629870e-05       7.487022025953e-06       1.168932250434e-05      -4.636823269792e-09      -5.508570172810e-09      -6.358514361551e-09      -1.378408558207e-08      -1.967942115784e-08       1.365643564888e-09       1.370235432277e-09       1.374745112507e-09       1.415750900265e-09       1.450427305555e-09       1.374865993960e-09       1.379413913219e-09       1.420777772318e-09       1.455770887802e-09       1.383999627472e-09       1.425717660561e-09       1.461024421695e-09       1.470767438406e-09       1.509043742443e-09       1.549996327806e-09      -2.406916321778e-08      -2.398721250389e-08      -2.390042143207e-08      -2.282710238197e-08      -2.156482828632e-08      -2.443248479051e-08      -2.435997516753e-08      -2.428249951476e-08      -2.329232324013e-08      -2.209078230200e-08      -2.477604715652e-08      -2.471274593873e-08      -2.464437686763e-08      -2.373639360506e-08      -2.259583543658e-08      -2.736801667758e-08      -2.738217479274e-08      -2.739130866156e-08      -2.722712835948e-08      -2.669417318379e-08      -2.891278090665e-08      -2.897673291592e-08      -2.903665096471e-08      -2.941644256944e-08      -2.942236875764e-08 
    5       1.256671527270e-10       2.812781265721e-09       2.087167510140e-10       2.108362561876e-05       2.003962569758e-05       1.917796140484e-05       9.485328965016e-06      -9.700144418633e-07       2.085192596904e-05       1.983792746974e-05       1.068083363375e-05      -2.327252887770e-07       2.062721416352e-05       1.183675896653e-05       5.778478625448e-07       1.868922210585e-05       1.103361321901e-05       1.724101098724e-05      -3.894105860322e-10      -1.407830126228e-09      -2.400389388603e-09      -1.108286030815e-08      -1.798976667794e-08       9.401837586811e-10       9.436165056218e-10       9.469872108651e-10       9.775929801445e-10       1.003403002305e-09       9.470806275203e-10       9.504823447396e-10       9.813786212604e-10       1.007445325195e-09       9.539147205778e-10       9.850984517756e-10       1.011419511800e-09       1.018989906617e-09       1.047725571716e-09       1.078643589256e-09      -2.472104976418e-08      -2.461868226007e-08      -2.451004855276e-08      -2.315795631232e-08      -2.156381585536e-08      -2.513006505580e-08      -2.503941055523e-08      -2.494233746258e-08      -2.369299834449e-08      -2.217235729279e-08      -2.551674278785e-08      -2.543751821149e-08      -2.535175488291e-08      -2.420418605105e-08      -2.275761929909e-08      -2.838448957240e-08      -2.840111974275e-08      -2.841143713173e-08      -2.818921918900e-08      -2.749249135204e-08      -3.003346896575e-08      -3.011035454795e-08      -3.018238073365e-08      -3.063241330138e-08      -3.061039988413e-08 
    6       1.207315557947e-10       2.197968848911e-09       1.703653968881e-10       2.903864923626e-05       2.758091615522e-05       2.638405337467e-05       1.312292515350e-05      -1.157345477978e-06       2.871633332638e-05       2.730079690825e-05       1.475337959568e-05      -1.608425354195e-07       2.840437582844e-05       1.633096735397e-05       9.369834582592e-07       2.572533566189e-05       1.520302714701e-05       2.374077854202e-05       4.085544559549e-09       2.933981267789e-09       1.811419851457e-09      -8.023608591054e-09      -1.585972856837e-08       6.831527596661e-10       6.858253263618e-10       6.884491870244e-10       7.122503002674e-10       7.322812424507e-10       6.885239436902e-10       6.911735582289e-10       7.152160158925e-10       7.354600048869e-10       6.938486384799e-10       7.181299881728e-10       7.385852141077e-10       7.446644917964e-10       7.671300145974e-10       7.914173874103e-10      -2.496630879902e-08      -2.484448236148e-08      -2.471503935845e-08      -2.309668694545e-08      -2.118638822420e-08      -2.541753860679e-08      -2.530956670056e-08      -2.519379847733e-08      -2.369656426263e-08      -2.187131931830e-08      -2.584354388515e-08      -2.574909782182e-08      -2.564671637418e-08      -2.426964029608e-08      -2.253039200972e-08      -2.896046606872e-08      -2.897918052598e-08      -2.899038055839e-08      -2.871059995277e-08      -2.785419581209e-08      -3.070063988806e-08      -3.078913772206e-08      -3.087205734605e-08      -3.138515316479e-08      -3.133352072806e-08 
    7       1.172688960355e-10       1.772549306878e-09       1.420692760075e-10       3.816639330719e-05       3.622642827824e-05       3.464164513528e-05       1.735857901180e-05      -1.225949509384e-06       3.773652080693e-05       3.585265787711e-05       1.947391766308e-05       5.722584785764e-08       3.732024164588e-05       2.152179761446e-05       1.473240248586e-06       3.376575235061e-05       1.999249539073e-05       3.115590984944e-05       8.672760262476e-09       7.400838560278e-09       6.160392465188e-09      -4.721820905098e-09      -1.341226786520e-08       5.157833813588e-10       5.179249955277e-10       5.200273551075e-10       5.390843731222e-10       5.550981016434e-10       5.200886290663e-10       5.222127611873e-10       5.414738922051e-10       5.576676578716e-10       5.243584267584e-10       5.438216658828e-10       5.601940363355e-10       5.651934412577e-10       5.832695554665e-10       6.028936871067e-10      -2.491781908911e-08      -2.477731958969e-08      -2.462791745754e-08      -2.275510998295e-08      -2.054416229253e-08      -2.540788756590e-08      -2.528324457047e-08      -2.514949492983e-08      -2.341488845630e-08      -2.129943377293e-08      -2.586895681562e-08      -2.575980049182e-08      -2.564138263747e-08      -2.404408051075e-08      -2.202545051858e-08      -2.921217048404e-08      -2.923233451739e-08      -2.924387303524e-08      -2.890542395152e-08      -2.789328575267e-08      -3.103258785218e-08      -3.113119577185e-08      -3.122360261660e-08      -3.179079733588e-08      -3.170690776622e-08 
    8       1.149513822233e-10       1.463870126069e-09       1.204553326430e-10       4.846860217006e-05       4.597699982092e-05       4.395159682020e-05       2.221944197200e-05      -1.124094445157e-06       4.791161908240e-05       4.549256317825e-05       2.486448347774e-05       4.712071115368e-07       4.737322219666e-05       2.742627582724e-05       2.233894544010e-06       4.279567113252e-05       2.540698784478e-05       3.946328596404e-05       1.326853155382e-08       1.188747497509e-08       1.054085749646e-08      -1.292810121167e-09      -1.076328663827e-08       4.008141168489e-10       4.025678961643e-10       4.042894009582e-10       4.198859429713e-10       4.329762881640e-10       4.043405497624e-10       4.060807205379e-10       4.218523211752e-10       4.350969707695e-10       4.078393560026e-10       4.237843516840e-10       4.371821557148e-10       4.413686573899e-10       4.562306827456e-10       4.724263766472e-10      -2.465739942931e-08      -2.449894647646e-08      -2.433039028663e-08      -2.221468541571e-08      -1.971840895524e-08      -2.518245198515e-08      -2.504171718033e-08      -2.489065237210e-08      -2.292896725973e-08      -2.053761143103e-08      -2.567555586279e-08      -2.555213277087e-08      -2.541821029207e-08      -2.360974444268e-08      -2.132503862161e-08      -2.922431174549e-08      -2.924523123007e-08      -2.925651112285e-08      -2.885788548698e-08      -2.769417894776e-08      -3.111528734578e-08      -3.122252272572e-08      -3.132302911111e-08      -3.193502087519e-08      -3.181606068086e-08 
    9       1.135371223608e-10       1.232264116499e-09       1.034966487115e-10       5.995385299526e-05       5.684112473051e-05       5.432267068237e-05       2.773478175607e-05      -8.055503440192e-07       5.924975676010e-05       5.622773309654e-05       3.095021637718e-05       1.126322856064e-06       5.856903289792e-05       3.406546259673e-05       3.262773173748e-06       5.280856172927e-05       3.145650243741e-05       4.864749802503e-05       1.779532118357e-08       1.631700398727e-08       1.487341817245e-08       2.175072026028e-09      -8.008645703455e-09       3.185855521974e-10       3.200462894342e-10       3.214800751391e-10       3.344648786040e-10       3.453530396208e-10       3.215233887931e-10       3.229733588108e-10       3.361100076976e-10       3.471319347693e-10       3.244393417098e-10       3.377264394016e-10       3.488811990838e-10       3.524375132743e-10       3.648648904545e-10       3.784541559386e-10      -2.424351758079e-08      -2.406780517115e-08      -2.388087369802e-08      -2.153364561753e-08      -1.876702103015e-08      -2.480009618167e-08      -2.464382637966e-08      -2.447608996782e-08      -2.229748374562e-08      -1.964429680668e-08      -2.532330761907e-08      -2.518604174512e-08      -2.503712707527e-08      -2.302646378298e-08      -2.048884171720e-08      -2.905765174338e-08      -2.907864679339e-08      -2.908908094642e-08      -2.862881115095e-08      -2.731796359060e-08      -3.101100384118e-08      -3.112547623119e-08      -3.123277028038e-08      -3.188058003623e-08      -3.172391167797e-08 
   10       1.128134972200e-10       1.053751319782e-09       8.994152852298e-11       7.263643914875e-05       6.883212975276e-05       6.576785586243e-05       3.393357534510e-05      -2.305711562128e-07       7.176256850791e-05       6.806989811067e-05       3.775696219133e-05       2.062179696203e-06       7.091918237842e-05       4.146184993342e-05       4.598728688561e-06       6.380357591437e-05       3.815395201634e-05       5.869916047690e-05       2.220709879644e-08       2.064003439026e-08       1.910895965106e-08       5.630693114297e-09      -5.205212400980e-09       2.578841942375e-10       2.591175856425e-10       2.603281830260e-10       2.712885909287e-10       2.804724665897e-10       2.603652941887e-10       2.615900554912e-10       2.726834076092e-10       2.819843424182e-10       2.628288333186e-10       2.740539457694e-10       2.834711753595e-10       2.865275112291e-10       2.970611533102e-10       3.086163854082e-10      -2.371915389217e-08      -2.352686701161e-08      -2.332232811108e-08      -2.075476931980e-08      -1.773235064749e-08      -2.430487334323e-08      -2.413362198228e-08      -2.394985207402e-08      -2.156436362996e-08      -1.866308142985e-08      -2.485542459904e-08      -2.470474130746e-08      -2.454134592829e-08      -2.233738428022e-08      -1.955975326199e-08      -2.875724132389e-08      -2.877768354553e-08      -2.878672839870e-08      -2.826361293855e-08      -2.681028497083e-08      -3.076623794585e-08      -3.088667970889e-08      -3.099955979149e-08      -3.167484792685e-08      -3.147815776828e-08 
   11       1.126371967605e-10       8.858445087797e-10       7.918043941047e-11       8.653080125695e-05       8.196476839383e-05       7.830200444786e-05       4.084303809680e-05       6.341024811487e-07       8.546517533701e-05       8.103290885814e-05       4.530949001889e-05       3.312352185286e-06       8.443577665695e-05       4.963748296635e-05       6.275117637038e-06       7.578379705280e-05       4.551354784200e-05       6.961316745210e-05       2.643106380289e-08       2.478782447427e-08       2.318386160546e-08       9.034159418894e-09      -2.364489537506e-09       2.119174510781e-10       2.129706787782e-10       2.140044245244e-10       2.233617346194e-10       2.311977465737e-10       2.140365327491e-10       2.150827716810e-10       2.245573935251e-10       2.324966596856e-10       2.161413760569e-10       2.257322979462e-10       2.337741880076e-10       2.364263497643e-10       2.454553010296e-10       2.553894545488e-10      -2.311682484089e-08      -2.290864769378e-08      -2.268726500570e-08      -1.991037624399e-08      -1.664624970514e-08      -2.372939552651e-08      -2.354372161012e-08      -2.334455829050e-08      -2.076209973446e-08      -1.762606872196e-08      -2.430370624532e-08      -2.414004225935e-08      -2.396268523789e-08      -2.157425529963e-08      -1.856920585169e-08      -2.835752861272e-08      -2.837685747790e-08      -2.838403019489e-08      -2.779723313117e-08      -2.620627501621e-08      -3.041584534588e-08      -3.054111985528e-08      -3.065850503863e-08      -3.135370097673e-08      -3.111505676618e-08 
